spearman_rho,kendall_tau,exact_rank_agreement,top_rank_agreement,reference_top,comparison_top,repetition,noise_seed
0.9746794344808963,0.9486832980505138,0,1,A1,A1,377,100418
0.8944271909999159,0.8366600265340756,0,1,A1,A1,378,100419
0.8720815992723809,0.7378647873726218,0,1,A1,A1,379,100420
0.9999999999999999,1.0,1,1,A1,A1,380,100421
0.9746794344808963,0.9486832980505138,0,1,A1,A1,381,100422
0.39999999999999997,0.4,0,0,A1,A2,382,100423
0.9999999999999999,1.0,1,1,A1,A1,383,100424
0.30779350562554625,0.31622776601683794,0,0,A1,A2,384,100425
0.8999999999999998,0.8,0,1,A1,A1,385,100426
0.9746794344808963,0.9486832980505138,0,1,A1,A1,386,100427
0.9746794344808963,0.9486832980505138,0,1,A1,A1,387,100428
0.3,0.2,0,0,A1,A2,388,100429
0.9746794344808963,0.9486832980505138,0,1,A1,A1,389,100430
0.9746794344808963,0.9486832980505138,0,1,A1,A1,390,100431
0.7,0.6,0,1,A1,A1,391,100432
0.8207826816681234,0.7378647873726218,0,1,A1,A1,392,100433
0.9746794344808963,0.9486832980505138,0,1,A1,A1,393,100434
0.9746794344808963,0.9486832980505138,0,1,A1,A1,394,100435
0.8999999999999998,0.8,0,1,A1,A1,395,100436
0.9999999999999999,1.0,1,1,A1,A1,396,100437
0.9746794344808963,0.9486832980505138,0,1,A1,A1,397,100438
0.8944271909999159,0.8366600265340756,0,1,A1,A1,398,100439
0.8999999999999998,0.8,0,1,A1,A1,399,100440
0.9746794344808963,0.9486832980505138,0,1,A1,A1,400,100441
-0.49999999999999994,-0.4,0,0,A1,A2,401,100442
0.6668859288553503,0.5270462766947299,0,0,A1,A5,402,100443
0.6,0.4,0,1,A1,A1,403,100444
0.8944271909999159,0.8366600265340756,0,1,A1,A1,404,100445
0.8720815992723809,0.7378647873726218,0,0,A1,A4,405,100446
0.8999999999999998,0.8,0,1,A1,A1,406,100447
0.8207826816681234,0.7378647873726218,0,1,A1,A1,407,100448
0.8999999999999998,0.8,0,1,A1,A1,408,100449
0.9746794344808963,0.9486832980505138,0,1,A1,A1,409,100450
0.9746794344808963,0.9486832980505138,0,1,A1,A1,410,100451
0.9746794344808963,0.9486832980505138,0,1,A1,A1,411,100452
0.9746794344808963,0.9486832980505138,0,1,A1,A1,412,100453
0.9999999999999999,1.0,1,1,A1,A1,413,100454
0.8720815992723809,0.7378647873726218,0,1,A1,A1,414,100455
0.9999999999999999,1.0,1,1,A1,A1,415,100456
0.8720815992723809,0.7378647873726218,0,1,A1,A1,416,100457
